temperature_c,humidity_pct,delta_temp,delta_humi,comfort_class,comfort_label
29.0,52.0,0.2555018568403658,-0.11767457564256366,2,WARM_HUMID
19.7,53.4,-0.0029868481072919365,0.2980131648565305,0,COLD
25.2,66.1,-0.3078163464170763,0.11936280100158021,1,COMFORT
21.3,31.6,-0.0828411735633967,-0.6194190722335947,0,COLD
29.3,29.5,0.06887708322488789,-0.43063990472015057,2,WARM_HUMID
31.1,38.7,-0.077385796969851,0.287005430730073,2,WARM_HUMID
28.2,47.9,-0.026010596922996877,-0.32808299603021296,2,WARM_HUMID
21.5,54.6,-0.13585634384833706,-0.48045629545877955,0,COLD
30.0,73.9,0.06083632050995222,-0.09538240060314446,3,HOT
22.9,39.4,0.2687102744448781,0.48513069374742285,1,COMFORT
19.8,37.1,-0.03166719010701173,0.025174380400808796,0,COLD
22.4,60.7,-0.23747658556353898,-0.13382733739527813,1,COMFORT
38.0,81.0,-0.009162914697084875,-0.04418808102328435,3,HOT
30.7,71.8,0.08742421041842084,-0.11245666983225389,3,HOT
28.2,49.9,-0.012660935566022078,-0.022969447193596972,2,WARM_HUMID
23.4,46.6,0.15713062605822284,0.04961257802949676,1,COMFORT
29.8,63.6,0.08316002662751994,-0.24487677524240614,3,HOT
31.4,55.3,0.46450432706580796,-0.19348297211153154,3,HOT
25.2,43.0,0.03249374631069285,-0.6428229248278527,1,COMFORT
13.8,37.7,-0.020008548316743383,-0.6539797141065868,0,COLD
22.8,26.9,0.0010825719131846716,0.047144408366694944,1,COMFORT
22.4,28.5,0.026126438460690043,0.40783454019805565,1,COMFORT
28.6,79.3,0.05316098512115083,-0.5147750767010367,3,HOT
36.7,40.8,-0.0923609043696104,0.05255614117561255,3,HOT
22.9,38.3,0.06517149767762566,0.276590071327941,1,COMFORT
30.1,71.3,-0.10581505860859296,0.117987291528893,3,HOT
32.2,65.8,-0.004709390559903637,0.21529889388957693,3,HOT
26.9,84.5,-0.09714791345670684,0.8844467717538436,2,WARM_HUMID
30.6,69.0,-0.22513915702963663,0.3860250430739316,3,HOT
21.2,37.8,-0.10802820175140662,-0.18329051028776916,0,COLD
21.8,28.6,0.06627378403939707,0.7057020149416834,0,COLD
29.9,72.0,-0.3164543639264666,-1.0252951487950135,3,HOT
30.6,68.8,0.16448804661424687,-0.13578653932809698,3,HOT
29.2,59.0,0.19164973436826374,-0.17081023484201527,2,WARM_HUMID
27.0,66.0,-0.1330021383425186,-0.2897139110892517,2,WARM_HUMID
30.3,46.0,0.07316622316265073,-0.08112424851450695,2,WARM_HUMID
30.3,25.5,0.017695201759134152,-0.07401377493784622,2,WARM_HUMID
19.5,44.1,0.025427963660491368,-0.10901795953695684,0,COLD
29.6,67.0,0.07823927405287608,0.22802263717281201,3,HOT
29.2,77.0,-0.051925572396172924,-0.16063599474298962,3,HOT
28.3,87.5,-0.10330845683430487,0.2856283538137873,3,HOT
27.6,65.3,-0.28514668066856075,0.4839914306067592,2,WARM_HUMID
22.7,60.6,0.07911450098996536,0.23953006457010267,1,COMFORT
20.4,85.0,-0.0101050504106343,0.41151911837017974,0,COLD
30.6,79.4,0.08841734462768112,-0.28741329368932583,3,HOT
30.0,65.0,-0.03350015541511535,-0.2337401574302227,3,HOT
31.9,36.7,-0.08500931008851487,-0.43905506158542906,2,WARM_HUMID
17.9,38.7,0.09037101544235449,-0.20963713253444857,0,COLD
29.3,70.9,-0.12182356958011009,0.6466745921781487,3,HOT
20.0,49.9,0.11035704819340203,0.49977138445618635,0,COLD
29.2,44.8,-0.1152382980587655,-0.35359857770131153,2,WARM_HUMID
29.8,73.2,0.14392333777932337,-0.19081963277010436,3,HOT
27.7,54.5,0.22395294064333252,-0.19200314864485657,2,WARM_HUMID
28.8,26.8,0.32949690824684313,0.15059548114373653,2,WARM_HUMID
20.5,37.2,0.1785058129810565,-0.11981115038028411,0,COLD
28.5,79.2,0.006339459744746878,-0.468944860698782,3,HOT
25.2,42.7,-0.10370022917441646,0.25639163694724687,1,COMFORT
28.9,38.3,-0.001085597017430342,-0.17194032935586262,2,WARM_HUMID
30.6,73.2,-0.04593757151733093,-0.17903388515259086,3,HOT
32.3,61.0,0.14639037604098326,-0.8960572659317771,3,HOT
24.3,60.7,0.26999334467016134,0.5475629599888924,1,COMFORT
29.7,46.3,-0.09174862630111046,0.5084940825692805,2,WARM_HUMID
30.6,63.5,-0.2746987153798443,-0.7954968566053732,3,HOT
31.3,69.2,0.15621375444768645,0.35624418567790156,3,HOT
22.5,28.7,0.03327167224964428,0.21779764131689958,1,COMFORT
29.7,47.0,-0.23039242040904662,-0.6951683264134103,2,WARM_HUMID
19.7,43.9,-0.1666282799288115,0.3410232614051747,0,COLD
17.1,58.0,-0.05916112450844747,-0.31980179495593586,0,COLD
29.9,31.0,0.12825024520653336,0.06128922076097281,2,WARM_HUMID
